Make,Model,Year,Front Wheel Size (in),SAE Net Horsepower @ RPM,Displacement,Engine Type,"Width, Max w/o mirrors (in)","Height, Overall (in)","Length, Overall (in)",Gas Mileage,Drivetrain,Passenger Capacity,Passenger Doors,Body Style,MSRP
Ford,Fiesta,2013,15,120,16,4,67,58,173,29,FWD,5,4,4dr,13
Ford,Fiesta,2014,15,120,16,4,67,58,173,28,FWD,5,4,4dr,14
Ford,Fiesta,2015,15,120,16,4,67,58,173,28,FWD,5,4,4dr,14
Ford,Fiesta,2016,15,120,16,4,67,58,173,28,FWD,5,4,4dr,14
Ford,Fiesta,2017,15,120,16,4,67,58,159,27,FWD,5,4,4dr,13
Ford,Fiesta,2019,15,120,16,4,67,58,173,27,FWD,5,4,4dr,14
Ford,Flex,2010,19,260,35,6,75,68,201,16,AWD,7,4,4dr,39
Ford,Flex,2011,19,260,35,6,75,68,201,16,AWD,7,4,SUV,40
Ford,Flex,2012,19,260,35,6,75,68,201,16,AWD,7,4,4dr,37
Ford,Flex,2013,19,280,35,6,75,68,201,16,AWD,7,4,4dr,41
Ford,Flex,2014,19,280,35,6,75,68,201,17,AWD,7,4,SUV,39
Ford,Flex,2015,19,280,35,6,75,68,201,17,AWD,7,4,SUV,39
Ford,Flex,2016,19,280,35,6,75,68,201,16,AWD,7,4,SUV,39
Ford,Flex,2017,19,280,35,6,75,68,201,nan,AWD,7,4,SUV,40
Ford,Flex,2019,19,280,35,6,75,68,201,16,AWD,7,4,SUV,40
Ford,Fusion,2011,17,150,25,4,72,56,190,41,FWD,5,4,4dr,28
Ford,Fusion,2012,17,190,25,4,72,56,190,41,FWD,5,4,4dr,28
Ford,Fusion,2013,17,170,25,4,72,58,191,22,FWD,5,4,4dr,23
Ford,Fusion,2014,16,170,25,4,72,58,191,22,FWD,5,4,4dr,21
Ford,Fusion,2015,16,170,25,4,72,58,191,22,FWD,5,4,4dr,22
Ford,Fusion,2016,16,170,25,4,72,58,191,22,FWD,5,4,4dr,22
Ford,Fusion,2017,18,180,20,4,72,58,191,43,FWD,5,4,4dr,37
Ford,Fusion,2019,18,240,20,4,75,58,191,20,AWD,5,4,4dr,27
Ford,Fusion,2020,16,170,25,4,75,58,191,21,FWD,5,4,4dr,23
Ford,Mustang,2011,18,410,50,8,73,56,188,nan,RWD,4,2,Convertible,34
Ford,Mustang,2012,18,410,50,8,73,56,188,17,RWD,4,2,Convertible,34
Ford,Mustang,2013,18,410,50,8,73,56,188,nan,RWD,4,2,Convertible,35
Ford,Mustang,2014,18,420,50,8,73,55,188,nan,RWD,4,2,Convertible,36
Ford,Mustang,2015,18,310,23,4,75,54,188,nan,RWD,4,2,Convertible,34
Ford,Mustang,2016,18,310,23,4,75,54,188,nan,RWD,4,2,Convertible,35
Ford,Mustang,2017,18,310,23,4,75,54,188,21,RWD,4,2,2dr,26
Ford,Mustang,2019,19,480,50,8,75,54,188,nan,RWD,4,2,2dr,46
Ford,Mustang,2020,19,480,50,8,75,54,188,nan,RWD,4,2,2dr,46
Ford,Ranger,2004,15,140,30,6,69,64,nan,18,RWD,5,2,Pickup,18
Ford,Ranger,2005,15,140,30,6,69,66,nan,18,RWD,3,2,Pickup,19
Ford,Ranger,2006,16,200,40,6,69,69,nan,16,4WD,3,2,Pickup,24
Ford,Ranger,2007,15,140,23,4,69,66,nan,24,RWD,2,2,Pickup,16
Ford,Ranger,2008,15,140,30,6,69,66,nan,16,RWD,3,2,Pickup,18
Ford,Ranger,2009,15,200,40,6,69,66,nan,15,RWD,3,2,Pickup,20
Ford,Ranger,2010,15,200,40,6,69,66,nan,15,RWD,4,2,Pickup,22
Ford,Ranger,2019,18,270,23,4,85,70,210,21,RWD,4,4,Pickup,32
Ford,Super Duty F-250,2011,18,380,62,8,79,77,nan,nan,RWD,5,4,Pickup,46
Ford,Super Duty F-250,2012,18,380,62,8,79,77,nan,nan,RWD,5,4,Pickup,47
Ford,Super Duty F-250,2013,18,380,62,8,79,77,nan,nan,RWD,5,4,Pickup,49
Ford,Super Duty F-250,2014,18,380,62,8,79,77,246,nan,RWD,5,4,Pickup,49
Ford,Super Duty F-250,2015,18,380,62,8,79,77,246,nan,RWD,5,4,Pickup,51
Ford,Super Duty F-250,2016,18,380,62,8,79,77,246,nan,RWD,5,4,Pickup,52
Ford,Super Duty F-250,2017,18,380,62,8,80,78,250,nan,RWD,5,4,Pickup,54
Ford,Super Duty F-250,2019,18,380,62,8,80,78,250,nan,RWD,5,4,Pickup,55
Ford,Super Duty F-250,2020,18,380,62,8,80,78,250,nan,RWD,5,4,Pickup,57
Ford,Taurus,2010,19,260,35,6,85,60,202,17,AWD,5,4,4dr,33
Ford,Taurus,2011,19,260,35,6,85,60,202,17,AWD,5,4,4dr,33
Ford,Taurus,2012,19,260,35,6,76,60,202,17,AWD,5,4,4dr,34
Ford,Taurus,2013,19,280,35,6,76,60,202,18,AWD,5,4,4dr,34
Ford,Taurus,2014,19,280,35,6,76,60,202,18,AWD,5,4,4dr,36
Ford,Taurus,2015,19,280,35,6,76,60,202,18,AWD,5,4,4dr,36
Ford,Taurus,2016,19,280,35,6,76,60,202,17,AWD,5,4,4dr,36
Ford,Taurus,2017,19,280,35,6,76,60,202,17,AWD,5,4,4dr,38
Ford,Taurus,2019,19,280,35,6,76,60,202,17,AWD,5,4,4dr,39
Ford,Transit Connect Wagon,2011,15,130,20,4,70,79,180,21,FWD,5,4,Van,23
Ford,Transit Connect Wagon,2012,15,130,20,4,70,79,180,22,FWD,5,4,Van,23
Ford,Transit Connect Wagon,2013,15,130,20,4,70,79,180,22,FWD,5,4,Van,24
Ford,Transit Connect Wagon,2014,16,160,25,4,72,72,189,20,FWD,7,4,Van,29
Ford,Transit Connect Wagon,2015,16,160,25,4,72,72,189,20,FWD,7,4,Van,29
Ford,Transit Connect Wagon,2016,16,160,25,4,72,72,189,19,FWD,6,4,Van,29
Ford,Transit Connect Wagon,2017,16,160,25,4,72,72,189,19,FWD,6,4,Van,30
Ford,Transit Connect Wagon,2019,16,160,20,4,72,71,190,nan,FWD,6,4,Van,31
Ford,Transit Connect Wagon,2020,16,160,20,4,72,71,190,nan,FWD,6,4,Van,32
Genesis,G70,2020,18,250,20,4,72,55,184,20,AWD,5,4,4dr,37
Genesis,G80,2017,18,310,38,6,74,58,196,16,AWD,5,4,4dr,43
Genesis,G80,2020,19,360,33,6,74,58,196,17,AWD,5,4,4dr,58
Genesis,G90,2017,19,360,33,6,75,58,204,17,AWD,5,4,4dr,70
Genesis,G90,2019,19,360,33,6,75,58,204,17,AWD,5,4,4dr,71
Genesis,G90,2020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GMC,Acadia,2011,20,280,36,6,78,69,200,16,AWD,7,4,SUV,45
GMC,Acadia,2012,20,280,36,6,78,69,200,16,AWD,7,4,SUV,46
GMC,Acadia,2013,20,280,36,6,78,70,200,16,AWD,7,4,SUV,47
GMC,Acadia,2014,20,280,36,6,78,70,200,16,AWD,7,4,SUV,48
GMC,Acadia,2015,20,280,36,6,78,70,200,16,AWD,7,4,SUV,49
GMC,Acadia,2016,20,280,36,6,78,70,200,15,AWD,7,4,SUV,49
GMC,Acadia,2017,20,310,36,6,75,66,193,18,AWD,6,4,SUV,47
GMC,Acadia,2019,20,310,36,6,75,66,193,17,AWD,6,4,SUV,47
GMC,Acadia,2020,17,310,36,6,75,66,193,18,AWD,5,4,SUV,42
GMC,Canyon,2009,16,180,29,4,67,65,nan,18,RWD,6,4,Pickup,23
GMC,Canyon,2010,16,180,29,4,67,65,nan,18,RWD,6,4,Pickup,23
GMC,Canyon,2011,16,180,29,4,67,64,nan,18,RWD,6,4,Pickup,24
GMC,Canyon,2012,16,180,29,4,67,65,nan,18,RWD,6,4,Pickup,24
GMC,Canyon,2015,16,200,25,4,74,70,nan,20,RWD,5,4,Pickup,25
GMC,Canyon,2016,16,200,25,4,74,70,nan,20,RWD,5,4,Pickup,26
GMC,Canyon,2017,16,200,25,4,74,70,nan,20,RWD,5,4,Pickup,26
GMC,Canyon,2019,16,200,25,4,74,70,nan,20,RWD,5,4,Pickup,27
GMC,Canyon,2020,16,200,25,4,74,70,nan,20,RWD,5,4,Pickup,27
GMC,Sierra 1500,2011,20,400,62,8,80,73,nan,13,RWD,5,4,Pickup,43
GMC,Sierra 1500,2012,20,400,62,8,80,73,nan,13,RWD,5,4,Pickup,45
GMC,Sierra 1500,2013,20,400,62,8,80,73,nan,13,RWD,5,4,Pickup,46
GMC,Sierra 1500,2014,17,280,43,6,80,74,nan,18,RWD,6,4,Pickup,34
GMC,Sierra 1500,2015,17,280,43,6,80,74,nan,18,RWD,6,4,Pickup,35
GMC,Sierra 1500,2016,17,280,43,6,80,74,nan,18,RWD,6,4,Pickup,36
GMC,Sierra 1500,2017,17,280,43,6,80,74,nan,18,RWD,6,4,Pickup,36
GMC,Sierra 1500,2019,17,280,43,6,81,75,nan,16,RWD,6,4,Pickup,35
GMC,Sierra 1500,2020,17,280,43,6,81,75,nan,16,RWD,6,4,Pickup,35
GMC,Sierra 2500HD,2011,18,360,60,8,80,78,nan,nan,RWD,6,4,Pickup,43
GMC,Sierra 2500HD,2012,18,360,60,8,80,78,nan,nan,RWD,6,4,Pickup,45
GMC,Sierra 2500HD,2013,18,360,60,8,80,78,nan,nan,RWD,5,4,Pickup,46
GMC,Sierra 2500HD,2014,18,360,60,8,80,78,nan,nan,RWD,5,4,Pickup,49
GMC,Sierra 2500HD,2015,17,360,60,8,80,78,nan,nan,RWD,6,4,Pickup,35
GMC,Sierra 2500HD,2016,17,360,60,8,80,78,nan,nan,RWD,6,4,Pickup,37
GMC,Sierra 2500HD,2017,17,360,60,8,80,78,nan,nan,RWD,6,4,Pickup,37
GMC,Sierra 2500HD,2019,17,360,60,8,80,78,nan,nan,RWD,6,4,Pickup,39
GMC,Sierra 2500HD,2020,17,400,66,8,81,79,nan,nan,RWD,6,4,Pickup,40
GMC,Terrain,2011,17,180,24,4,72,66,185,20,AWD,5,4,SUV,26
GMC,Terrain,2012,17,180,24,4,72,66,185,20,AWD,5,4,SUV,27
GMC,Terrain,2013,18,180,24,4,72,66,185,20,AWD,5,4,SUV,36
GMC,Terrain,2014,18,180,24,4,72,66,185,20,AWD,5,4,SUV,36
GMC,Terrain,2015,18,180,24,4,72,66,185,20,AWD,5,4,SUV,37
GMC,Terrain,2016,18,180,24,4,72,66,185,20,AWD,5,4,SUV,35
GMC,Terrain,2017,18,180,24,4,72,66,185,20,AWD,5,4,SUV,36
GMC,Terrain,2019,19,250,20,4,72,65,182,21,AWD,5,4,SUV,39
GMC,Terrain,2020,19,250,20,4,72,65,182,21,AWD,5,4,SUV,39
GMC,Yukon,2011,20,400,62,8,79,76,nan,14,RWD,7,4,SUV,53
GMC,Yukon,2012,20,400,62,8,79,76,nan,14,RWD,7,4,SUV,55
GMC,Yukon,2013,20,400,62,8,79,76,nan,14,RWD,7,4,SUV,56
GMC,Yukon,2014,20,400,62,8,79,76,nan,14,RWD,7,4,SUV,58
GMC,Yukon,2015,20,420,62,8,80,74,nan,15,RWD,8,4,SUV,64
GMC,Yukon,2016,20,420,62,8,80,74,nan,15,RWD,7,4,SUV,65
GMC,Yukon,2017,20,420,62,8,80,74,nan,15,RWD,7,4,SUV,65
GMC,Yukon,2019,20,420,62,8,80,74,nan,14,RWD,7,4,SUV,66
GMC,Yukon,2020,20,420,62,8,80,74,nan,nan,RWD,7,4,SUV,67
Honda,Accord,2011,17,190,24,4,72,56,191,22,FWD,5,2,2dr,25
Honda,Accord,2012,17,190,24,4,72,56,190,22,FWD,5,2,2dr,25
Honda,Accord,2013,17,180,24,4,72,56,189,26,FWD,5,2,2dr,25
Honda,Accord,2014,17,180,24,4,72,56,189,26,FWD,5,2,2dr,26
Honda,Accord,2015,17,180,24,4,72,56,189,26,FWD,5,2,2dr,26
Honda,Accord,2016,18,180,24,4,73,56,189,26,FWD,5,2,2dr,26
Honda,Accord,2017,18,180,24,4,73,56,189,26,FWD,5,2,2dr,27
Honda,Accord,2019,17,210,20,4,73,57,192,48,FWD,5,4,4dr,29
Honda,Accord,2020,17,210,20,4,73,57,192,48,FWD,5,4,4dr,29
Honda,Civic,2011,15,140,18,4,68,55,175,25,FWD,5,2,2dr,16
Honda,Civic,2012,15,140,18,4,69,55,176,nan,FWD,5,2,2dr,16
Honda,Civic,2013,16,140,18,4,69,55,175,28,FWD,5,2,2dr,20
Honda,Civic,2014,16,140,18,4,69,55,177,29,FWD,5,2,2dr,21
Honda,Civic,2015,16,140,18,4,69,55,177,29,FWD,5,2,2dr,21
Honda,Civic,2016,17,170,15,4,70,54,176,31,FWD,5,2,2dr,23
Honda,Civic,2017,16,150,20,4,70,54,176,30,FWD,5,2,2dr,20
Honda,Civic,2019,17,170,15,4,70,56,177,31,FWD,5,4,4dr,26
Honda,Civic,2020,17,170,15,4,70,56,177,31,FWD,5,4,4dr,24
Honda,Clarity,2003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Honda,Clarity,2005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Honda,Clarity,2008,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Honda,Clarity,2009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Honda,Clarity,2017,18,170,nan,nan,73,58,192,nan,FWD,5,4,4dr,nan
Honda,Clarity,2019,18,160,nan,nan,73,58,192,nan,FWD,5,4,4dr,36
Honda,CR-V,2011,17,180,24,4,71,66,179,21,FWD,5,4,SUV,24
Honda,CR-V,2012,17,180,24,4,71,65,178,23,FWD,5,4,SUV,24
Honda,CR-V,2013,17,180,24,4,71,65,178,23,FWD,5,4,SUV,24
Honda,CR-V,2014,17,180,24,4,71,64,178,23,FWD,5,4,SUV,25
Honda,CR-V,2015,17,180,24,4,71,64,179,27,FWD,5,4,SUV,25
Honda,CR-V,2016,17,180,24,4,71,64,179,26,FWD,5,4,SUV,26
Honda,CR-V,2017,18,190,15,4,73,66,180,28,FWD,5,4,SUV,26
Honda,CR-V,2019,18,190,15,4,73,66,180,28,FWD,5,4,SUV,27
Honda,CR-V,2020,18,190,15,4,73,66,182,nan,FWD,5,4,SUV,27
Honda,Fit,2011,15,110,15,4,66,60,161,28,FWD,5,4,4dr,15
Honda,Fit,2012,15,110,15,4,66,60,161,28,FWD,5,4,4dr,16
Honda,Fit,2013,15,110,15,4,66,60,161,28,FWD,5,4,4dr,16
Honda,Fit,2014,15,120,nan,nan,67,62,162,nan,FWD,5,4,4dr,36
Honda,Fit,2015,16,130,15,4,67,60,160,32,FWD,5,4,4dr,18
Honda,Fit,2016,16,130,15,4,67,60,160,32,FWD,5,4,4dr,18
Honda,Fit,2017,16,130,15,4,67,60,160,32,FWD,5,4,4dr,18
Honda,Fit,2019,16,120,15,4,67,60,161,31,FWD,5,4,4dr,18
Honda,HR-V,2016,17,140,18,4,69,63,169,28,FWD,5,4,SUV,22
Honda,HR-V,2017,17,140,18,4,69,63,169,28,FWD,5,4,SUV,22
Honda,HR-V,2019,17,140,18,4,69,63,170,28,FWD,5,4,SUV,23
Honda,HR-V,2020,17,140,18,4,69,63,170,28,FWD,5,4,SUV,23
Honda,Insight,2005,14,650,10,3,66,53,155,57,FWD,2,2,2dr,21
Honda,Insight,2006,14,650,10,3,66,53,155,57,FWD,2,2,2dr,21
Honda,Insight,2009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Honda,Insight,2010,15,980,13,4,66,56,172,40,FWD,5,4,4dr,21
Honda,Insight,2011,15,980,13,4,66,56,172,40,FWD,5,4,4dr,18
Honda,Insight,2012,15,980,13,4,66,56,172,41,FWD,5,4,4dr,18
Honda,Insight,2013,15,980,13,4,66,56,172,41,FWD,5,4,4dr,18
Honda,Insight,2019,16,150,15,4,71,55,183,55,FWD,5,4,4dr,24
Honda,Insight,2020,16,150,15,4,71,55,183,55,FWD,5,4,4dr,24
Honda,Odyssey,2011,17,240,35,6,79,68,202,18,FWD,8,4,Van,31
Honda,Odyssey,2012,17,240,35,6,79,68,202,18,FWD,8,4,Van,31
Honda,Odyssey,2013,17,240,35,6,79,68,202,18,FWD,8,4,Van,31
Honda,Odyssey,2014,17,240,35,6,79,68,202,19,FWD,8,4,Van,32
Honda,Odyssey,2015,17,240,35,6,79,68,202,19,FWD,8,4,Van,32
Honda,Odyssey,2016,17,240,35,6,79,68,202,19,FWD,8,4,Van,32
Honda,Odyssey,2017,17,240,35,6,79,68,202,19,FWD,8,4,Van,33
Honda,Odyssey,2019,18,280,35,6,78,69,203,19,FWD,8,4,Van,34
Honda,Odyssey,2020,18,280,35,6,78,69,203,19,FWD,8,4,Van,34
Honda,Passport,1995,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,16
Honda,Passport,1997,16,190,32,6,68,66,176,15,RWD,5,4,SUV,26
Honda,Passport,1998,16,200,32,6,70,68,184,16,RWD,5,4,SUV,26
Honda,Passport,1999,16,200,32,6,70,68,184,16,RWD,5,4,SUV,26
Honda,Passport,2000,16,200,32,6,70,68,178,16,RWD,5,4,SUV,26
Honda,Passport,2001,16,200,32,6,70,68,178,17,RWD,5,4,SUV,26
Honda,Passport,2019,20,280,35,6,78,72,190,19,AWD,5,4,SUV,38
Honda,Passport,2020,20,280,35,6,78,72,190,19,AWD,5,4,SUV,38
Honda,Pilot,2011,17,250,35,6,78,72,190,17,FWD,8,4,SUV,31
Honda,Pilot,2012,18,250,35,6,78,72,191,18,FWD,8,4,SUV,31
Honda,Pilot,2013,18,250,35,6,78,72,191,18,FWD,8,4,SUV,31
Honda,Pilot,2014,18,250,35,6,78,70,191,nan,FWD,8,4,SUV,31
Honda,Pilot,2015,18,250,35,6,78,70,191,18,FWD,8,4,SUV,32
Honda,Pilot,2016,18,280,35,6,78,69,194,19,FWD,8,4,SUV,32
Honda,Pilot,2017,18,280,35,6,78,69,194,19,FWD,8,4,SUV,33
Honda,Pilot,2019,18,280,35,6,78,70,196,19,FWD,8,4,SUV,34
Honda,Pilot,2020,20,280,35,6,78,70,196,19,AWD,7,4,SUV,49
Honda,Ridgeline,2008,17,240,35,6,76,70,206,15,4WD,5,4,Pickup,28
Honda,Ridgeline,2009,17,250,35,6,77,70,207,15,4WD,5,4,Pickup,28
Honda,Ridgeline,2010,17,250,35,6,77,70,207,15,4WD,5,4,Pickup,28
Honda,Ridgeline,2011,17,250,35,6,77,70,207,15,4WD,5,4,Pickup,29
Honda,Ridgeline,2012,17,250,35,6,77,70,206,15,4WD,5,4,Pickup,29
Honda,Ridgeline,2013,17,250,35,6,77,70,206,nan,4WD,5,4,Pickup,29
Honda,Ridgeline,2014,17,250,35,6,77,70,206,nan,4WD,5,4,Pickup,29
Honda,Ridgeline,2017,18,280,35,6,78,70,210,18,AWD,5,4,Pickup,42
Honda,Ridgeline,2019,18,280,35,6,78,70,210,18,AWD,5,4,Pickup,43
Hyundai,Accent,2011,14,110,16,4,66,57,159,27,FWD,5,2,2dr,13
Hyundai,Accent,2012,14,130,16,4,66,57,172,nan,FWD,5,4,4dr,15
Hyundai,Accent,2013,14,130,16,4,66,57,172,28,FWD,5,4,4dr,15
Hyundai,Accent,2014,14,130,16,4,66,57,172,27,FWD,5,4,4dr,15
Hyundai,Accent,2015,14,130,16,4,66,57,172,26,FWD,5,4,4dr,15
Hyundai,Accent,2016,14,130,16,4,66,57,172,26,FWD,5,4,4dr,15
Hyundai,Accent,2017,14,130,16,4,66,57,162,26,FWD,5,4,4dr,16
Hyundai,Accent,2019,17,130,16,4,68,57,172,28,FWD,5,4,4dr,19
Hyundai,Accent,2020,17,120,16,4,68,57,172,33,FWD,5,4,4dr,19
Hyundai,Elantra,2011,16,140,18,4,69,56,178,28,FWD,5,4,4dr,17
Hyundai,Elantra,2012,16,140,18,4,69,56,178,28,FWD,5,4,4dr,17
Hyundai,Elantra,2013,16,140,18,4,69,56,178,28,FWD,5,4,4dr,17
Hyundai,Elantra,2014,17,140,18,4,69,56,179,27,FWD,5,4,4dr,21
Hyundai,Elantra,2015,17,140,18,4,69,56,179,27,FWD,5,4,4dr,21
Hyundai,Elantra,2016,17,140,18,4,69,56,179,28,FWD,5,4,4dr,21
Hyundai,Elantra,2017,15,120,14,4,70,56,179,32,FWD,5,4,4dr,20
Hyundai,Elantra,2019,15,120,14,4,70,56,181,32,FWD,5,4,4dr,21
Hyundai,Elantra,2020,15,120,14,4,70,56,181,33,FWD,5,4,4dr,21
Hyundai,Ioniq,2017,16,110,nan,nan,71,57,176,nan,FWD,5,4,4dr,29
Hyundai,Ioniq,2019,16,110,nan,nan,71,57,176,nan,FWD,5,4,4dr,30
Hyundai,Ioniq,2020,15,130,16,4,71,56,176,57,FWD,5,4,4dr,23
Hyundai,Kona Electric,2019,17,200,nan,nan,70,61,164,nan,FWD,5,4,SUV,41
Hyundai,Kona Electric,2020,17,200,nan,nan,70,61,164,nan,FWD,5,4,SUV,41
Hyundai,Kona,2019,18,170,16,4,70,61,164,26,AWD,5,4,SUV,31
Hyundai,Kona,2020,18,170,16,4,70,61,164,26,AWD,5,4,SUV,27
Hyundai,NEXO,2019,17,160,nan,nan,73,64,183,nan,FWD,5,4,SUV,58
Hyundai,NEXO,2020,17,160,nan,nan,73,64,183,nan,FWD,5,4,SUV,58
Hyundai,Palisade,2020,20,290,38,6,77,68,196,19,AWD,7,4,SUV,46
Hyundai,Santa Fe,2011,17,170,24,4,74,67,184,20,AWD,5,4,SUV,24
Hyundai,Santa Fe,2012,17,170,24,4,74,67,184,20,AWD,5,4,SUV,24
Hyundai,Santa Fe,2013,19,260,20,4,74,66,184,19,AWD,5,4,SUV,29
Hyundai,Santa Fe,2014,18,290,33,6,74,66,193,18,AWD,7,4,SUV,31
Hyundai,Santa Fe,2015,18,290,33,6,74,66,193,18,AWD,7,4,SUV,31
Hyundai,Santa Fe,2016,19,290,33,6,74,66,193,18,AWD,6,4,SUV,36
Hyundai,Santa Fe,2017,18,290,33,6,74,66,193,18,FWD,6,4,SUV,34
Hyundai,Santa Fe,2019,19,230,20,4,74,67,187,19,AWD,5,4,SUV,35
Hyundai,Santa Fe,2020,19,230,20,4,74,66,187,20,AWD,5,4,SUV,39
Hyundai,Sonata,2011,18,270,20,4,72,57,189,22,FWD,5,4,4dr,27
Hyundai,Sonata,2012,18,270,20,4,72,57,189,22,FWD,5,4,4dr,28
Hyundai,Sonata,2013,18,270,20,4,72,57,189,22,FWD,5,4,4dr,27
Hyundai,Sonata,2014,17,270,20,4,72,57,189,21,FWD,5,4,4dr,28
Hyundai,Sonata,2015,16,170,16,4,73,58,191,28,FWD,5,4,4dr,23
Hyundai,Sonata,2016,16,170,16,4,73,58,191,28,FWD,5,4,4dr,23
Hyundai,Sonata,2017,16,180,24,4,73,58,191,25,FWD,5,4,4dr,21
Hyundai,Sonata,2019,16,170,16,4,73,58,191,28,FWD,5,4,4dr,23
Hyundai,Sonata,2020,18,180,16,4,73,56,192,27,FWD,5,4,4dr,33
Hyundai,Tucson,2011,18,170,24,4,71,66,173,20,AWD,5,4,SUV,23
Hyundai,Tucson,2012,18,170,24,4,71,66,173,nan,AWD,5,4,SUV,23
Hyundai,Tucson,2013,18,170,24,4,71,66,173,20,AWD,5,4,SUV,24
Hyundai,Tucson,2014,17,160,20,4,71,65,173,21,AWD,5,4,SUV,22
Hyundai,Tucson,2015,17,160,20,4,71,65,173,21,AWD,5,4,SUV,23
Hyundai,Tucson,2016,17,170,16,4,72,64,176,25,AWD,5,4,SUV,25
Hyundai,Tucson,2017,17,170,16,4,72,64,176,25,AWD,5,4,SUV,25
Hyundai,Tucson,2019,18,180,24,4,72,64,176,21,AWD,5,4,SUV,30
Hyundai,Tucson,2020,18,180,24,4,72,64,176,21,AWD,5,4,SUV,30
Hyundai,Veloster,2012,17,130,16,4,70,55,166,nan,FWD,4,3,3dr,18
Hyundai,Veloster,2013,18,130,16,4,70,55,166,28,FWD,4,3,2dr,21
Hyundai,Veloster,2014,18,130,16,4,70,55,166,28,FWD,4,3,3dr,21
Hyundai,Veloster,2015,17,130,16,4,70,55,166,27,FWD,4,3,3dr,19
Hyundai,Veloster,2016,17,130,16,4,70,55,166,28,FWD,4,3,3dr,19
Hyundai,Veloster,2019,17,140,20,4,70,55,166,27,FWD,4,3,3dr,19
Hyundai,Veloster,2020,17,140,20,4,70,55,166,27,FWD,4,3,3dr,19
Hyundai,Venue,2020,17,120,16,4,69,61,159,30,FWD,5,4,SUV,21
INFINITI,Q50,2014,17,320,37,6,71,57,188,19,AWD,5,4,4dr,38
INFINITI,Q50,2015,17,320,37,6,71,57,188,19,AWD,5,4,4dr,38
INFINITI,Q50,2016,17,200,20,4,71,57,188,22,AWD,5,4,4dr,35
INFINITI,Q50,2017,17,200,20,4,71,57,188,22,AWD,5,4,4dr,35
INFINITI,Q50,2019,17,200,20,4,71,57,189,22,AWD,5,4,4dr,37
INFINITI,Q50,2020,18,300,30,6,71,57,189,19,AWD,5,4,4dr,40
INFINITI,Q60,2014,18,320,37,6,72,55,183,18,RWD,4,2,Convertible,48
INFINITI,Q60,2015,18,320,37,6,72,55,183,18,RWD,4,2,Convertible,48
INFINITI,Q60,2016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
INFINITI,Q60,2017,19,200,20,4,72,54,184,21,AWD,4,2,2dr,40
INFINITI,Q60,2019,19,300,30,6,72,54,184,19,AWD,4,2,2dr,47
INFINITI,Q60,2020,19,300,30,6,72,54,184,19,AWD,4,2,2dr,47
INFINITI,Q70,2014,18,330,37,6,72,59,194,17,AWD,5,4,4dr,51
INFINITI,Q70,2015,18,330,37,6,72,59,194,18,AWD,5,4,4dr,52
INFINITI,Q70,2016,18,330,37,6,72,59,194,18,AWD,5,4,4dr,52
INFINITI,Q70,2017,18,330,37,6,72,59,194,18,AWD,5,4,4dr,52
INFINITI,Q70,2019,18,330,37,6,72,59,196,18,AWD,5,4,4dr,52
INFINITI,QX30,2017,18,200,20,4,71,59,174,21,AWD,5,4,SUV,34
INFINITI,QX30,2019,18,200,20,4,71,59,174,21,AWD,5,4,SUV,41
INFINITI,QX50,2014,18,320,37,6,71,61,182,17,AWD,5,4,SUV,36
INFINITI,QX50,2015,18,320,37,6,71,61,182,17,AWD,5,4,SUV,36
INFINITI,QX50,2016,18,320,37,6,71,62,186,17,AWD,5,4,SUV,35
INFINITI,QX50,2019,19,260,20,4,74,66,184,24,AWD,5,4,SUV,45
INFINITI,QX50,2020,20,260,20,4,74,66,184,22,AWD,5,4,SUV,55
INFINITI,QX60,2014,18,260,35,6,77,68,196,19,AWD,7,4,SUV,43
INFINITI,QX60,2015,18,260,35,6,77,68,196,19,AWD,7,4,SUV,43
INFINITI,QX60,2016,18,260,35,6,77,68,196,19,AWD,7,4,SUV,44
INFINITI,QX60,2017,18,290,35,6,77,68,196,19,AWD,7,4,SUV,44
INFINITI,QX60,2019,18,290,35,6,77,68,200,19,AWD,7,4,SUV,48
INFINITI,QX60,2020,18,290,35,6,77,68,200,19,AWD,7,4,SUV,48
INFINITI,QX80,2014,20,400,56,8,79,75,208,14,RWD,7,4,SUV,62
INFINITI,QX80,2015,20,400,56,8,79,75,208,14,RWD,7,4,SUV,63
INFINITI,QX80,2016,20,400,56,8,79,75,208,14,RWD,7,4,SUV,63
INFINITI,QX80,2017,20,400,56,8,79,75,208,13,AWD,7,4,SUV,66
INFINITI,QX80,2020,22,400,56,8,79,75,210,13,AWD,7,4,SUV,91
Jaguar,E-Pace,2020,18,240,20,4,74,64,173,21,AWD,5,4,SUV,39
Jaguar,F-Pace,2017,18,180,20,4,76,65,186,26,AWD,5,4,SUV,41
